기능,HTTP 메서드,API Path,Request,Response,개발 완료,분류,사람,연동 완료
회원가입,POST,/signup,,,No,user,,No
로그인,POST,/login,,,No,user,,No
회원 탈퇴,DELETE,/withdraw,,,No,user,,No
일기 작성,POST,/diary,,,No,diary,,No
일기 조회,GET,/diary/{id},,,No,diary,,No
일기 수정,PATCH,/diary/{id},,,No,diary,,No
일기 삭제,DELETE,/diary/{id},,,No,diary,,No
전체 일기 조회(월별),GET,/diary/{yyyymm},,,No,diary,,No
PHQ-9 검사 점수 결과 서버로 전달,POST,/examination/phq-9,,,No,examination,,No
회원 정보 수정,PATCH,/modify,,,No,user,,No
GAD-7 검사 점수 결과 서버로 전달,POST,/examination/gad-7,,,No,examination,,No
,,,,,No,,,No
검사 결과 목록 조회,GET,/examination/result,,,No,examination,,No
챗봇 (AI),POST,/chatbot,,,No,chatbot,,No
리포트 생성 (AI + 백),POST,/report,,,No,report,,No
,,,,,No,,,No
병원 전체 목록 조회,GET,/hospital_info,,,No,hospital,,No
병원 정보 상세 조회,GET,/hospital/{id},,,No,hospital,,No
의사 회원가입,POST,/doctor/signup,,,No,doctor,,No
병원 찜하기,PATCH,/hospital/{id},,,No,hospital,,No
병원 찜 목록 조회,GET,/hospital/like,,,No,hospital,,No
재검사,DELETE,/examination/restart,,,No,examination,,No
,,,,,No,,,No
"내 정보 조회(이름, 의사여부)",GET,/my,,,No,user,,No
리포트 목록 조회 by 조건,GET,/report,,,No,report,,No
리포트 상세 조회,GET,/report/{id},,,No,report,,No
,,,,,No,,,No
의사가 환자에게 수락 요청,POST,/doctor/request,,,No,doctor,,No
환자가 의사 요청 수락,PATCH,/doctor/accept,,,No,doctor,,No
환자가 의사 요청 거절,PATCH,/doctor/reject,,,No,doctor,,No
의사 본인의 환자 목록 조회,GET,/doctor/patient,,,No,doctor,,No
,,,,,No,,,No
리포트 삭제,DELETE,/report,,,No,report,,No
,,,,,No,,,No
,,,,,No,,,No